2026-06-04T08:42:53.985665Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.063717Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:54.063950Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.347419Z DEBUG internalvoice: Received audio response from Gemini (25600 bytes)
2026-06-04T08:42:54.347841Z DEBUG internalvoice::audio: Enqueuing 17640 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.349982Z DEBUG internalvoice: Received audio response from Gemini (20480 bytes)
2026-06-04T08:42:54.350328Z DEBUG internalvoice::audio: Enqueuing 14112 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.358035Z DEBUG internalvoice: Received audio response from Gemini (5120 bytes)
2026-06-04T08:42:54.358156Z DEBUG internalvoice::audio: Enqueuing 3528 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.358291Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:54.358440Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.381032Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:42:54.381421Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.462943Z DEBUG internalvoice: Received audio response from Gemini (15360 bytes)
2026-06-04T08:42:54.463182Z DEBUG internalvoice::audio: Enqueuing 10584 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.505338Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:54.505468Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.523809Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:54.524098Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.536671Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:54.536793Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.578843Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:54.579005Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.637670Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:42:54.637823Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.735331Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:42:54.735517Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.735580Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:42:54.735611Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.735729Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:42:54.735805Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.864949Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:54.865153Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.865433Z DEBUG internalvoice: Received audio response from Gemini (20480 bytes)
2026-06-04T08:42:54.865628Z DEBUG internalvoice::audio: Enqueuing 14112 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:54.883492Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:42:54.883616Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:42:55.388931Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:42:55.559487Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:03.259685Z DEBUG internalvoice: Ignoring unparseable server message error=expected value at line 4 column 3
2026-06-04T08:43:03.777293Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:04.304660Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:04.832034Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:05.415548Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:05.874031Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:06.572508Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:06.927004Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:07.668723Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:08.365831Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:09.417710Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:09.591861Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:10.071027Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:10.264304Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:14.562420Z DEBUG internalvoice: Received audio response from Gemini (4 bytes)
2026-06-04T08:43:14.659272Z DEBUG internalvoice: Received audio response from Gemini (4480 bytes)
2026-06-04T08:43:14.659380Z DEBUG internalvoice::audio: Enqueuing 3087 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.659642Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:43:14.659845Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.659909Z DEBUG internalvoice: Ignoring unparseable server message error=unknown variant `sessionResumptionUpdate`, expected one of `setupComplete`, `serverContent`, `realtimeInput`, `toolCall` at line 2 column 27
2026-06-04T08:43:14.813750Z DEBUG internalvoice: Received audio response from Gemini (15360 bytes)
2026-06-04T08:43:14.814034Z DEBUG internalvoice::audio: Enqueuing 10584 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.814306Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:14.814423Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.814621Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:14.814725Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.860718Z DEBUG internalvoice: Received audio response from Gemini (12800 bytes)
2026-06-04T08:43:14.860882Z DEBUG internalvoice::audio: Enqueuing 8820 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.873166Z DEBUG internalvoice: Received audio response from Gemini (5120 bytes)
2026-06-04T08:43:14.873319Z DEBUG internalvoice::audio: Enqueuing 3528 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.962466Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:43:14.962543Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.964007Z DEBUG internalvoice: Received audio response from Gemini (15360 bytes)
2026-06-04T08:43:14.964189Z DEBUG internalvoice::audio: Enqueuing 10584 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.964219Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:43:14.964248Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:14.977838Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:43:14.977904Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.020564Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.020763Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.064108Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.064329Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.312195Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.312406Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.312561Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:43:15.312708Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.313634Z DEBUG internalvoice: Received audio response from Gemini (17920 bytes)
2026-06-04T08:43:15.313892Z DEBUG internalvoice::audio: Enqueuing 12348 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.314080Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.314240Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.314395Z DEBUG internalvoice: Received audio response from Gemini (2560 bytes)
2026-06-04T08:43:15.314474Z DEBUG internalvoice::audio: Enqueuing 1764 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.335116Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.335263Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.338479Z DEBUG internalvoice: Received audio response from Gemini (5120 bytes)
2026-06-04T08:43:15.338587Z DEBUG internalvoice::audio: Enqueuing 3528 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.406844Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:43:15.406994Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.468383Z DEBUG internalvoice: Received audio response from Gemini (20480 bytes)
2026-06-04T08:43:15.468591Z DEBUG internalvoice::audio: Enqueuing 14112 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.484277Z DEBUG internalvoice: Received audio response from Gemini (7680 bytes)
2026-06-04T08:43:15.484505Z DEBUG internalvoice::audio: Enqueuing 5292 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.555067Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.555255Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
2026-06-04T08:43:15.572807Z DEBUG internalvoice: Received audio response from Gemini (10240 bytes)
2026-06-04T08:43:15.573000Z DEBUG internalvoice::audio: Enqueuing 7056 mono samples (24000Hz → 44100Hz)
